Question ID,Domain,Difficulty,Expected Steps,Predicted,Correct,Is Correct,Stages Found,Quality,Time,is_correct,coverage
0,Quantum Mechanics,Graduate-2,4,G,G,True,8,Complete,45.5,1,1.0
1,Quantum Mechanics,Graduate-1,4,D,A,False,6,Complete,16.2,0,1.0
2,Quantum Mechanics,Graduate-2,4,D,D,True,4,Complete,28.0,1,1.0
3,Quantum Field Theory,Graduate-2,4,D,B,False,8,Complete,22.7,0,1.0
4,Quantum Field Theory,Graduate-3,4,D,D,True,8,Complete,20.5,1,1.0
5,Quantum Computation,Graduate-2,4,D,D,True,12,Complete,23.2,1,1.0
6,Quantum Computation,Graduate-1,4,C,C,True,9,Complete,17.4,1,1.0
7,Quantum Information,Graduate-2,4,D,E,False,4,Complete,34.5,0,1.0
8,Quantum Optics,Graduate-2,4,C,C,True,8,Complete,24.8,1,1.0
9,Quantum Mechanics,Graduate-1,4,D,H,False,8,Complete,23.2,0,1.0
10,Quantum Mechanics,Graduate-2,4,C,A,False,4,Complete,20.7,0,1.0
11,Quantum Mechanics,Graduate-1,4,C,C,True,13,Complete,25.2,1,1.0
12,Quantum Field Theory,Graduate-2,4,E,A,False,6,Complete,24.6,0,1.0
13,Quantum Field Theory,Graduate-1,4,C,C,True,4,Complete,11.7,1,1.0
14,Quantum Computation,Graduate-2,4,A,F,False,4,Complete,14.9,0,1.0
15,Quantum Computation,Graduate-1,4,D,F,False,4,Complete,15.6,0,1.0
16,Quantum Computation,Graduate-2,4,E,E,True,4,Complete,13.2,1,1.0
17,Condensed Matter,Graduate-2,4,D,F,False,4,Complete,18.4,0,1.0
18,Condensed Matter,Graduate-3,4,E,E,True,4,Complete,14.6,1,1.0
19,Atomic Physics,Graduate-2,4,D,B,False,16,Complete,21.6,0,1.0
20,Particle Physics,Graduate-2,4,A,D,False,19,Complete,21.9,0,1.0
21,Quantum Computation,Graduate-1,4,H,E,False,7,Complete,23.5,0,1.0
22,Optics,Graduate-1,4,B,F,False,9,Complete,22.2,0,1.0
23,Photonics,Graduate-1,4,F,C,False,11,Complete,31.6,0,1.0
24,Quantum Field Theory,Graduate-1,4,B,H,False,8,Complete,26.1,0,1.0
25,Photonics,Graduate-1,4,A,A,True,7,Complete,20.1,1,1.0
26,Photonics,Graduate-1,4,E,E,True,6,Complete,28.8,1,1.0
27,Photonics,Graduate-1,4,G,G,True,12,Complete,29.5,1,1.0
28,Optics,Graduate-1,4,B,E,False,20,Complete,20.3,0,1.0
29,Optics,Graduate-1,4,H,G,False,4,Complete,25.9,0,1.0
30,Quantum Computation,Graduate-1,4,B,G,False,5,Complete,22.4,0,1.0
31,Quantum Field Theory,Graduate-1,4,B,C,False,10,Complete,19.2,0,1.0
32,Quantum Field Theory,Graduate-1,4,B,B,True,10,Complete,19.9,1,1.0
33,Photonics,Graduate-1,4,C,F,False,22,Complete,26.9,0,1.0
34,Quantum Mechanics,Graduate-1,4,D,D,True,7,Complete,27.9,1,1.0
35,String Theory,Graduate-1,4,G,D,False,13,Complete,25.0,0,1.0
36,String Theory,Graduate-1,4,A,F,False,9,Complete,25.6,0,1.0
37,Photonics,Graduate-1,4,C,F,False,8,Complete,21.1,0,1.0
38,Optics,Graduate-1,4,C,E,False,10,Complete,25.0,0,1.0
39,Quantum Computation,Graduate-1,4,C,B,False,34,Complete,26.7,0,1.0
40,Photonics,Graduate-1,4,D,D,True,6,Complete,29.6,1,1.0
41,Quantum Mechanics,Graduate-1,4,A,E,False,4,Complete,14.6,0,1.0
42,Optics,Graduate-1,4,G,E,False,6,Complete,19.0,0,1.0
43,Quantum Field Theory,Graduate-1,4,A,A,True,4,Complete,20.4,1,1.0
44,Photonics,Graduate-1,4,B,B,True,6,Complete,33.7,1,1.0
45,Photonics,Graduate-1,4,G,B,False,13,Complete,44.4,0,1.0
46,Photonics,Graduate-1,4,A,B,False,6,Complete,22.2,0,1.0
47,Photonics,Graduate-1,4,B,G,False,10,Complete,29.5,0,1.0
48,String Theory,Graduate-1,4,E,G,False,7,Complete,15.4,0,1.0
49,Photonics,Graduate-1,4,D,D,True,4,Complete,33.1,1,1.0
50,Optics,Graduate-1,4,G,E,False,8,Complete,29.9,0,1.0
51,Quantum Mechanics,Graduate-1,4,H,D,False,7,Complete,26.1,0,1.0
52,Quantum Mechanics,Graduate-1,4,E,E,True,7,Complete,24.2,1,1.0
53,Quantum Chemistry,Graduate-1,4,D,C,False,10,Complete,21.5,0,1.0
54,String Theory,Graduate-1,4,D,H,False,11,Complete,24.9,0,1.0
55,Quantum Mechanics,Graduate-1,4,A,E,False,8,Complete,28.8,0,1.0
56,Optics,Graduate-1,4,H,B,False,8,Complete,23.3,0,1.0
57,Optics,Graduate-1,4,A,E,False,10,Complete,16.1,0,1.0
58,Optics,Graduate-1,4,C,C,True,7,Complete,24.8,1,1.0
59,Quantum Mechanics,Graduate-1,4,F,F,True,9,Complete,20.6,1,1.0
60,Quantum Chemistry,Graduate-1,4,B,F,False,16,Complete,30.1,0,1.0
61,Quantum Computation,Graduate-1,4,D,D,True,5,Complete,22.9,1,1.0
62,String Theory,Graduate-1,4,B,H,False,6,Complete,18.5,0,1.0
63,Quantum Computation,Graduate-1,4,F,B,False,5,Complete,29.7,0,1.0
64,Photonics,Graduate-1,4,E,C,False,12,Complete,20.9,0,1.0
65,Quantum Mechanics,Graduate-1,4,D,D,True,35,Complete,22.6,1,1.0
66,Optics,Graduate-1,4,F,D,False,8,Complete,22.9,0,1.0
67,Photonics,Graduate-1,4,H,C,False,12,Complete,26.9,0,1.0
68,Photonics,Graduate-1,4,B,E,False,8,Complete,29.5,0,1.0
69,Optics,Graduate-1,4,D,D,True,12,Complete,31.8,1,1.0
70,Quantum Chemistry,Graduate-1,4,D,C,False,4,Complete,18.8,0,1.0
