Task ID,Type,Domain,Auto Score,LLM Score,Final Score,Response Time,Reasoning Steps
open_001,free_derivation,Quantum Computation,70.0,83.7,78.2,32.9,9
open_002,free_derivation,Optics,50.0,82.7,69.6,23.0,11
open_003,free_derivation,Photonics,54.0,91.2,76.3,26.4,9
open_004,free_derivation,Quantum Field Theory,60.0,94.0,80.4,24.3,11
open_005,free_derivation,Photonics,54.0,50.0,51.6,22.4,13
open_006,free_derivation,Quantum Mechanics,60.0,94.0,80.4,25.4,10
open_007,free_derivation,Photonics,60.0,86.4,75.8,26.5,11
open_008,free_derivation,Optics,60.0,81.2,72.8,25.4,8
open_009,free_derivation,Optics,60.0,87.2,76.3,36.6,14
open_010,free_derivation,Quantum Computation,65.0,73.3,70.0,31.4,13
open_011,free_derivation,Quantum Field Theory,60.0,81.7,73.0,32.1,14
open_012,free_derivation,Quantum Field Theory,65.0,83.7,76.2,27.4,14
open_013,free_derivation,Mathematics,65.0,83.2,75.9,34.3,13
open_014,free_derivation,Quantum Mechanics,59.0,81.2,72.3,23.0,15
open_015,free_derivation,String Theory,70.0,87.6,80.6,22.2,11
open_016,free_derivation,String Theory,65.0,87.6,78.6,28.5,11
open_017,free_derivation,Photonics,60.0,90.3,78.2,30.0,10
open_018,free_derivation,Optics,56.0,81.6,71.4,28.0,22
open_019,free_derivation,Quantum Computation,66.7,83.2,76.6,36.5,12
open_020,free_derivation,Mathematics,55.0,50.0,52.0,23.5,9
open_021,free_derivation,Quantum Mechanics,54.0,50.0,51.6,23.9,10
open_022,free_derivation,Optics,59.5,91.7,78.8,20.1,8
open_023,free_derivation,Quantum Field Theory,60.0,50.0,54.0,23.2,14
open_024,free_derivation,Quantum Mechanics,60.0,81.2,72.8,35.9,15
open_025,free_derivation,Quantum Mechanics,66.7,91.3,81.5,29.3,10
open_026,free_derivation,Quantum Mechanics,65.0,91.7,81.0,31.1,14
open_027,free_derivation,Quantum Mechanics,60.0,84.8,74.8,32.4,12
open_028,free_derivation,String Theory,50.0,83.7,70.2,22.5,21
open_029,free_derivation,Quantum Mechanics,54.0,72.5,65.1,26.1,19
open_030,free_derivation,Optics,65.0,50.0,56.0,30.0,12
